,Time,Open,High,Low,Close,Volume
1261,1575072000,7453.0,7820.0,7759.99,7555.92,6130.42566398
1262,1574985600,7411.0,7870.1,7432.41,7760.0,10862.78844038
1263,1574899200,7370.62,7660.82,7524.73,7432.41,8646.63700515
1264,1574812800,6850.0,7678.76,7162.67,7523.72,19213.98364601
1265,1574726400,7021.84,7340.59,7127.01,7162.67,11857.43287032
1266,1574640000,6526.0,7379.99,6908.64,7127.01,27124.48255363
1267,1574553600,6865.0,7344.0,7329.29,6908.64,10695.00788503
1268,1574467200,7102.21,7361.41,7283.19,7329.29,7728.4239895
1269,1574380800,6775.47,7720.0,7616.48,7283.03,33676.50950942
1270,1574294400,7374.5,8114.97,8082.97,7616.46,16947.0184322
1271,1574208000,8030.05,8222.41,8123.36,8082.96,5296.45566165
1272,1574121600,7980.07,8197.82,8168.84,8123.36,7360.99550259
1273,1574035200,8015.0,8501.01,8501.0,8168.84,9864.11956342
1274,1573948800,8371.02,8637.01,8481.0,8500.01,3754.24485434
1275,1573862400,8423.0,8531.03,8457.48,8481.0,2712.33956982
1276,1573776000,8361.0,8773.22,8630.01,8457.48,10940.91541078
1277,1573689600,8558.01,8784.61,8758.34,8630.0,5607.47902352
1278,1573603200,8705.0,8838.8,8811.0,8758.34,4486.2787504
1279,1573516800,8556.56,8870.0,8721.53,8810.0,6272.86259557
1280,1573430400,8590.0,9067.34,9032.23,8721.54,7049.92853839
1281,1573344000,8731.43,9150.0,8807.89,9032.23,6070.46798596
1282,1573257600,8712.52,8873.48,8763.01,8807.89,4175.00938447
1283,1573171200,8660.0,9246.0,9198.85,8763.01,12876.55531942
1284,1573084800,9075.0,9375.16,9341.27,9198.84,5989.36091519
1285,1572998400,9253.66,9450.0,9322.09,9341.27,6829.68611819
1286,1572912000,9169.84,9474.89,9412.63,9322.09,7581.21667266
1287,1572825600,9127.0,9600.0,9206.52,9412.53,8361.9587774
1288,1572739200,9068.3,9380.0,9308.52,9206.52,4294.50041401
1289,1572652800,9210.0,9393.0,9253.09,9308.52,4559.26538837
1290,1572566400,9057.27,9299.99,9159.96,9253.12,7774.27145408
1291,1572480000,8950.0,9433.0,9164.45,9159.48,8326.9619179
1292,1572393600,8991.33,9431.36,9431.36,9164.44,9862.67699421
1293,1572307200,9068.19,9575.0,9225.06,9430.8,12640.19748534
1294,1572220800,9180.59,9939.69,9555.89,9226.5,16736.97258328
1295,1572134400,9102.33,9826.72,9259.98,9548.84,19636.4291242
1296,1572048000,8645.01,10540.49,8668.0,9259.78,53383.40194086
1297,1571961600,7389.91,8800.1,7430.87,8668.0,27140.20895781
1298,1571875200,7359.48,7509.99,7475.54,7430.87,7972.6408295
1299,1571788800,7296.44,8049.0,8024.0,7474.85,19159.93039884
1300,1571702400,7998.9,8317.14,8209.92,8024.72,6015.86741941
1301,1571616000,8156.0,8349.84,8235.94,8209.92,6137.13312184
1302,1571529600,7875.01,8309.0,7965.27,8236.12,6162.04807515
1303,1571443200,7873.46,8099.98,7954.15,7965.28,4839.48919554
1304,1571356800,7814.08,8117.77,8076.94,7954.16,7071.35598576
1305,1571270400,7937.01,8124.42,7995.81,8076.2,4909.27039643
1306,1571184000,7908.86,8171.59,8162.44,7993.54,8489.99546525
1307,1571097600,8085.65,8420.0,8355.0,8162.44,8558.56827956
1308,1571011200,8215.66,8409.0,8282.96,8355.0,4462.4931302
1309,1570924800,8146.47,8469.02,8309.03,8282.97,5858.03981575
1310,1570838400,8261.46,8425.0,8263.02,8309.03,3046.40450951
1311,1570752000,8226.0,8826.0,8587.49,8267.33,12446.84471206
1312,1570665600,8452.5,8660.0,8590.01,8587.5,7908.66988763
1313,1570579200,8121.0,8712.45,8180.0,8590.0,14459.7776891
1314,1570492800,8107.26,8342.97,8208.99,8180.0,5857.54021433
1315,1570406400,7762.35,8310.57,7859.79,8209.0,10012.00725014
1316,1570320000,7780.85,8176.18,8147.63,7859.79,8697.93975986
1317,1570233600,8020.2,8200.0,8156.68,8147.63,3826.82870697
1318,1570147200,8002.21,8241.35,8241.27,8156.67,7715.28010237
1319,1570060800,8059.22,8419.95,8381.72,8240.41,7778.11842343
1320,1569974400,8168.85,8391.0,8321.87,8381.72,7016.97195206
1321,1569888000,8200.0,8535.0,8304.95,8321.52,12266.35796784
1322,1569801600,7701.0,8393.23,8054.09,8304.96,15142.61949966
1323,1569715200,7902.96,8246.87,8217.47,8052.4,7142.36916333
1324,1569628800,8015.25,8343.0,8193.99,8217.47,9039.55200543
1325,1569542400,7861.02,8290.0,8060.0,8193.99,15914.66412076
1326,1569456000,7712.45,8464.08,8438.35,8060.0,27664.78945578
1327,1569369600,8222.01,8743.86,8530.01,8438.35,23524.43263014
1328,1569283200,8159.35,9777.16,9693.74,8530.01,38736.2261491
1329,1569196800,9609.37,10051.15,10026.79,9693.74,11355.88878537
1330,1569110400,9848.37,10097.0,9973.99,10026.8,5276.95241027
1331,1569024000,9917.34,10170.15,10168.85,9973.99,5043.0795144
1332,1568937600,10056.3,10309.84,10275.01,10168.85,6183.91792313
1333,1568851200,9585.86,10379.15,10156.22,10275.01,15625.02434239
1334,1568764800,10074.08,10258.0,10185.42,10155.26,5627.58140023
1335,1568678400,10135.44,10276.18,10262.54,10185.39,5716.08222324
1336,1568592000,10068.42,10379.98,10303.66,10262.54,7785.7271484
1337,1568505600,10263.39,10380.0,10360.01,10304.46,2745.26528355
1338,1568419200,10223.36,10439.0,10365.94,10360.25,4470.31545378
1339,1568332800,10157.0,10452.5,10423.85,10365.93,6909.03483326
1340,1568246400,10040.0,10460.0,10158.81,10423.72,7625.24967791
1341,1568160000,9851.97,10297.12,10093.0,10160.2,8374.04003496
1342,1568073600,9916.0,10389.26,10310.01,10093.01,8098.57574372
1343,1567987200,10059.99,10541.75,10401.13,10310.0,9745.07271844
1344,1567900800,10231.13,10595.0,10484.37,10398.97,4915.56585169
1345,1567814400,10304.52,10580.0,10308.9,10484.37,4381.36082048
1346,1567728000,10182.0,10939.34,10574.28,10308.92,15732.60470722
1347,1567641600,10452.15,10666.43,10581.84,10574.73,7432.47882878
1348,1567555200,10380.0,10833.14,10628.48,10581.84,12180.82546922
1349,1567468800,10280.0,10790.0,10381.26,10628.48,15518.02066249
1350,1567382400,9756.54,10486.77,9766.62,10381.26,11794.06048881
1351,1567296000,9539.58,9840.0,9600.86,9766.52,4200.85038239
1352,1567209600,9436.2,9707.48,9582.42,9600.86,4057.20202851
1353,1567123200,9337.97,9699.0,9494.8,9582.42,8734.15084369
1354,1567036800,9321.73,9717.03,9714.01,9495.0,14421.69716916
1355,1566950400,9522.93,10277.0,10171.95,9714.31,17637.06892056
1356,1566864000,10019.56,10379.87,10361.65,10171.85,7514.28766499
1357,1566777600,10140.9,10680.0,10142.0,10361.65,14125.38101325
1358,1566691200,9899.95,10374.85,10148.0,10138.72,7288.06423633
1359,1566604800,9886.26,10429.0,10413.45,10147.96,7987.20795651
1360,1566518400,10035.84,10478.0,10105.61,10410.85,9413.53218337
1361,1566432000,9759.0,10237.53,10133.34,10107.15,10912.33836991
1362,1566345600,9841.59,10800.0,10768.49,10130.0,17445.28744509
1363,1566259200,10555.7,10953.0,10917.94,10769.09,8820.93622259
1364,1566172800,10265.0,10938.76,10315.48,10920.0,12220.3862029
1365,1566086400,10066.66,10513.45,10217.99,10315.48,6794.78437545
1366,1566000000,9978.0,10475.82,10352.78,10217.79,7307.99789432
1367,1565913600,9739.99,10539.9,10300.01,10352.78,19532.59596641
1368,1565827200,9470.0,10445.0,10021.13,10300.01,27939.82663467
1369,1565740800,9888.88,10859.97,10854.92,10025.86,24889.57722872
1370,1565654400,10746.0,11438.39,11389.25,10854.92,12500.34295603
1371,1565568000,11222.4,11555.55,11540.76,11389.28,6095.28181493
1372,1565481600,11088.88,11585.0,11280.95,11540.76,7329.58936485
1373,1565395200,11170.0,11969.99,11860.62,11280.95,13852.24742434
1374,1565308800,11651.89,12040.0,11982.39,11856.1,11774.51896894
1375,1565222400,11451.0,12050.0,11983.41,11981.0,14887.10999049
1376,1565136000,11366.26,12147.0,11465.49,11975.03,22145.48730119
1377,1565049600,11187.0,12320.4,11811.75,11465.49,24773.04936684
1378,1564963200,10977.98,11950.0,10977.98,11819.49,23345.19630495
1379,1564876800,10572.0,11089.74,10822.09,10977.51,11813.6738868
1380,1564790400,10500.0,10922.08,10533.62,10820.76,10082.35714313
1381,1564704000,10321.42,10670.0,10404.41,10533.01,13217.84401203
1382,1564617600,9881.0,10497.0,10089.97,10405.94,14432.5695627
1383,1564531200,9570.01,10135.12,9589.01,10087.3,12849.73773412
1384,1564444800,9371.96,9839.83,9499.21,9589.01,9411.16267094
1385,1564358400,9356.75,9729.87,9533.0,9495.01,10565.16661892
1386,1564272000,9108.88,9669.11,9469.37,9533.0,10054.74987437
1387,1564185600,9292.0,10248.41,9843.0,9479.98,18982.08417104
1388,1564099200,9657.21,9898.03,9880.86,9843.0,10732.61028519
1389,1564012800,9734.58,10184.99,9772.59,9883.33,13297.26756531
1390,1563926400,9507.38,9919.08,9848.9,9772.6,18264.50732336
1391,1563840000,9800.23,10324.28,10324.13,9840.12,18060.8898857
1392,1563753600,10060.0,10688.14,10590.71,10323.39,15798.9279419
1393,1563667200,10320.0,10835.0,10761.03,10590.7,11939.86553507
1394,1563580800,10360.65,11112.31,10536.92,10761.03,18390.4921253
1395,1563494400,10111.0,10777.21,10652.76,10538.06,19729.47932166
1396,1563408000,9291.0,10799.0,9696.39,10649.07,33044.50123646
1397,1563321600,9071.0,9998.0,9429.8,9696.31,35319.410925
1398,1563235200,9350.0,11040.0,10856.41,9422.72,43610.3814887
1399,1563148800,9857.27,11080.01,10190.91,10854.47,34137.37304062
1400,1563062400,10084.4,11467.27,11370.06,10185.03,25829.61014172
1401,1562976000,10814.4,11845.0,11797.53,11370.08,18417.60494114
1402,1562889600,11079.59,11950.0,11348.56,11802.0,18541.25295757
1403,1562803200,10933.0,12097.93,12097.48,11349.0,37301.32072503
1404,1562716800,11553.21,13202.63,12572.12,12097.96,41379.8431996
1405,1562630400,12105.32,12829.96,12293.39,12571.11,27431.42201721
1406,1562544000,11328.01,12395.0,11474.44,12293.53,20423.56124492
1407,1562457600,11084.31,11620.0,11237.77,11474.42,11293.22901394
1408,1562371200,10980.09,11723.6,10994.99,11237.77,15612.77821957
1409,1562284800,10761.8,11449.51,11137.87,11004.51,20737.37976413
1410,1562198400,11035.01,12064.26,11976.01,11136.0,22601.37480257
1411,1562112000,10829.19,12014.6,10829.19,11976.42,38216.68004129
1412,1562025600,9651.0,10925.0,10578.23,10829.18,43614.89365309
1413,1561939200,9953.0,11210.52,10761.26,10577.63,39825.95471069
1414,1561852800,10650.06,12200.0,11869.84,10761.26,28722.48538952
